D5-DD,D7-DD,D7-UU,D7-DU,subject
0.00174,0.00749,0.011598,0.015067,11
0.002036,0.008245,0.015525,0.02187,11
0.012811,0.050227,0.043196,0.032945,12
0.018421,0.049157,0.044658,0.022432,12
0.012353,0.055577,0.046484,0.026817,12
0.016924,0.041478,0.043653,0.020464,12
0.016884,0.04494,0.040183,0.053747,12
0.019796,0.04859,0.040639,0.037893,12
0.018758,0.112475,0.046575,0.02811,12
0.015953,0.037764,0.045845,0.020689,12
0.008819,0.040345,0.050046,0.020296,12
0.004086,0.041793,0.043105,0.054647,12
0.008442,0.065018,0.041644,0.055096,12
0.010465,0.10253,0.229041,0.022151,12
0.004221,0.097747,0.047123,0.020296,12
0.017113,0.088054,0.042374,0.02097,12
0.020039,0.046261,0.043105,0.022769,12
0.020268,0.045506,0.041279,0.025356,12
0.00383,0.050101,0.046667,0.023388,12
0.013121,0.034051,0.04,0.036487,12
0.021765,0.037953,0.039817,0.039186,12
0.01687,0.043051,0.039543,0.030134,12
0.015656,0.027631,0.069406,0.041491,12
0.003533,0.044625,0.040274,0.02485,12
0.003088,0.022847,0.037078,0.024119,12
0.003547,0.062059,0.118447,0.044133,12
0.002899,0.036191,0.038539,0.025412,12
0.011422,0.039023,0.035434,0.022095,12
0.00743,0.042925,0.038721,0.019677,12
0.008563,0.03254,0.065297,0.019621,12
0.003115,0.045506,0.04137,0.040929,12
0.009183,0.046073,0.038813,0.037668,12
0.017409,0.025491,0.076256,0.015798,12
0.003196,0.019386,0.031142,0.015742,12
0.002818,0.017938,0.220731,0.017091,12
0.003223,0.040597,0.039817,0.016304,12
0.002711,0.02033,0.059909,0.016135,12
0.016209,0.032163,0.063927,0.019171,12
0.017976,0.04217,0.039178,0.022657,12
0.01834,0.049094,0.040274,0.024063,12
0.015238,0.175415,0.050868,0.0244,12
0.01683,0.036317,0.057078,0.025749,12
0.004882,0.045317,0.044932,0.017035,12
0.018151,0.02247,0.038174,0.022769,12
0.002549,0.028638,0.040365,0.01591,12
0.011341,0.020393,0.050228,0.01726,12
0.008644,0.032855,0.07032,0.02603,12
0.015589,0.022029,0.040731,0.027829,12
0.003142,0.063004,0.043196,0.025018,12
0.002872,0.048212,0.041096,0.025805,12
0.002886,0.043995,0.04,0.045314,12
0.003317,0.084529,0.044292,0.032158,12
0.009521,0.051485,0.063288,0.026592,13
0.011409,0.029267,0.059087,0.027661,13
0.017868,0.056017,0.063105,0.016922,13
0.012932,0.059731,0.052968,0.013381,13
0.013323,0.047835,0.117717,0.018946,13
0.015872,0.058975,0.082192,0.011581,13
0.009372,0.055639,0.066027,0.024962,13
0.012568,0.056458,0.151781,0.018834,13
0.010451,0.025113,0.108128,0.013043,13
0.004248,0.05929,0.067945,0.014842,13
0.010384,0.054507,0.146758,0.012256,13
0.006486,0.064388,0.085297,0.013043,13
0.01335,0.022847,0.053881,0.013099,13
0.015805,0.077102,0.069772,0.027436,13
0.009804,0.028701,0.05589,0.077529,13
0.014402,0.028323,0.042648,0.015798,13
0.005583,0.024987,0.051781,0.027661,13
0.009156,0.02354,0.058447,0.017934,13
0.013715,0.022281,0.049772,0.020352,13
0.018353,0.026561,0.071598,0.016698,13
0.016924,0.030023,0.062557,0.018778,13
0.005826,0.024169,0.05726,0.015629,13
0.010073,0.023351,0.070228,0.015292,13
0.013876,0.03147,0.082922,0.080733,13
0.011314,0.070493,0.088584,0.020689,13
0.009534,0.025491,0.051781,0.020745,13
0.005947,0.024862,0.054521,0.018159,13
0.015643,0.037261,0.063105,0.01518,13
0.003479,0.068983,0.049224,0.01591,13
0.005138,0.026813,0.044292,0.018328,13
